Mean temperature (°C),Mean precipitation (mm),Mean relative humidity (%),Urban population (%),GDP per capita (PPP),International tourism arrivals,International tourism departures,Population density (people/km²),Population size,Log incidence rate,meanshift_cluster
25.89,956.68,83.89,50.548,16149.92825119405,8492220.782080764,10890109.50999668,323.861111111111,60715.0,0.0,0
25.94,554.73,83.89,50.532,16149.92825119405,8492220.782080764,10890109.50999668,324.266666666667,61193.0,0.0,0
26.41,502.57,84.1,50.517,16149.92825119405,8492220.782080764,10890109.50999668,325.444444444444,61465.0,0.0,0
26.44,650.28,84.6,50.502,16149.92825119405,8492220.782080764,10890109.50999668,326.533333333333,61738.0,0.0,0
26.62,852.92,83.28,50.487,16149.92825119405,8492220.782080764,10890109.50999668,328.838888888889,62006.0,0.0,0
26.72,559.9,83.62,50.472,16149.92825119405,8492220.782080764,10890109.50999668,332.827777777778,62266.0,0.0,0
26.75,887.79,83.59,50.456,16149.92825119405,8492220.782080764,10890109.50999668,336.461111111111,62614.0,0.0,0
26.26,502.99,84.55,50.441,16149.92825119405,8492220.782080764,10890109.50999668,340.422222222222,63116.0,0.0,0
26.63,381.42,85.19,50.426,16149.92825119405,8492220.782080764,10890109.50999668,345.711111111111,63683.0,0.0,0
26.12,725.95,83.42,50.411,16149.92825119405,8492220.782080764,10890109.50999668,349.45,64174.00000000001,0.0,0
26.1,926.61,83.42,50.395,16149.92825119405,8492220.782080764,10890109.50999668,342.933333333333,64477.99999999999,0.0,0
26.19,738.16,84.03,50.38,16149.92825119405,8492220.782080764,10890109.50999668,332.95,64553.0,0.0,0
26.91,613.59,84.39,50.365,16149.92825119405,8492220.782080764,10890109.50999668,328.661111111111,64450.0,0.0,0
26.5,1084.52,83.91,50.35,16149.92825119405,8492220.782080764,10890109.50999668,329.616666666667,64331.99999999999,0.0,0
26.18,593.05,83.89,50.335,16149.92825119405,8492220.782080764,10890109.50999668,335.794444444444,64596.0,0.0,0
26.38,826.75,84.28,50.319,21732.8583139266,8492220.782080764,10890109.50999668,348.627777777778,65712.0,0.0,0
26.32,501.56,84.29,50.304,23099.9400860323,8492220.782080764,10890109.50999668,366.088888888889,67864.0,0.0,0
26.47,493.83,84.51,49.998,23889.0450169367,8492220.782080764,10890109.50999668,383.361111111111,70192.0,0.0,0
26.61,594.2,84.09,49.588,24575.6606597482,8492220.782080764,10890109.50999668,409.361111111111,72360.0,0.0,0
26.3,450.49,84.25,49.177,25791.0431784591,8492220.782080764,10890109.50999668,431.083333333333,74710.0,0.0,0
26.88,617.7,82.66,48.767,26254.7428026592,912000.0,10890109.50999668,443.361111111111,77050.0,3.8922439988783024,0
26.49,549.34,83.42,48.356,26004.4956279226,957000.0,10890109.50999668,461.227777777778,79417.0,2.6094639084218114,0
26.42,384.93,84.5,47.946,27240.8027885838,947000.0,10890109.50999668,479.45,81858.0,0.0,0
26.91,527.28,85.14,47.536,27412.7551935589,906000.0,10890109.50999668,491.394444444444,84355.0,0.0,0
26.55,989.39,82.73,47.127,27765.6532571053,972000.0,10890109.50999668,498.105555555556,86867.0,5.014986273933091,0
26.3,680.29,83.18,46.717,30245.7069739744,1211000.0,10890109.50999668,503.266666666667,89101.0,4.4577885928358985,0
26.5,428.62,83.25,46.339,31920.239071845,1178000.0,10890109.50999668,507.994444444444,90690.0,0.0,0
26.66,546.53,83.69,45.972,31888.5087368958,1225000.0,10890109.50999668,511.522222222222,91781.0,3.3406952586345895,0
26.79,655.13,83.5,45.606,32507.0843145555,1184000.0,10890109.50999668,517.377777777778,92701.0,0.0,0
26.71,1114.48,83.3,45.24,35059.2730980113,1304000.0,10890109.50999668,528.544444444444,93540.0,5.225464999601386,0
27.11,890.15,82.94,44.875,35098.7976687362,1286000.0,10890109.50999668,542.416666666667,94483.0,0.0,0
26.91,581.35,83.24,44.511,35937.5946548103,1285000.0,10890109.50999668,552.25,95606.0,1.829343795039986,0
26.78,691.32,83.87,44.147,37768.5660136644,1254000.0,10890109.50999668,556.388888888889,96787.0,0.0,0
26.48,1103.87,82.58,43.783,38904.9992478386,1383000.0,10890109.50999668,560.65,97996.0,0.0,0
26.69,482.53,83.73,43.421,34339.9391561123,1420000.0,10890109.50999668,564.466666666667,99212.0,6.748421256413376,0
27.09,1398.47,83.99,43.059,33729.5119101741,1394000.0,10890109.50999668,565.766666666667,100342.0,7.252179524405197,0
26.73,1156.81,83.45,42.94,35324.0720643325,1469000.0,10890109.50999668,569.95,101288.0,8.002864109951194,0
26.78,621.98,83.37,42.957,34095.6471714416,1481000.0,10890109.50999668,578.388888888889,102112.0,0.0,0
26.78,491.25,83.55,42.99,35901.653313159,1667000.0,10890109.50999668,587.083333333333,102880.0,6.242649798219197,0
26.61,404.16,83.94,43.041,35657.2871970529,1739000.0,10890109.50999668,593.372222222222,103594.0,3.87743232011292,0
26.74,303.96,84.51,43.108,35972.8664446515,1832000.0,10890109.50999668,599.477777777778,104257.0,0.0,0
27.02,790.69,84.56,43.192,36117.5082112517,1758000.0,10890109.50999668,604.038888888889,104874.0,3.9045911436822633,0
26.96,531.86,83.83,43.293,37524.9284784013,1863000.0,10890109.50999668,604.083333333333,105439.0,0.0,0
26.51,555.35,84.12,43.411,39287.0195169703,1897000.0,10890109.50999668,605.044444444444,105962.0,2.2506190373134873,0
26.83,315.31,84.24,43.546,39110.2761899842,1951000.0,10890109.50999668,606.683333333333,106442.0,0.0,0
27.12,638.34,83.07,43.697,28976.4635497124,8492220.782080764,10890109.50999668,603.261111111111,106585.0,0.66176916109875,0
26.8,578.03,83.01,43.866,35696.3093722926,8492220.782080764,10890109.50999668,598.333333333333,106536.0,0.0,0
26.75,817.85,82.34,44.052,41649.4507917816,8492220.782080764,10890109.50999668,596.166666666667,106445.0,0.0,0
10.25,349.26,45.23,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,7480461.0,0.0,0
11.26,460.11,48.2,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,7571536.0,0.0,0
11.25,385.5,46.9,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,7667532.0,0.0,0
11.43,573.08,51.54,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,7764546.0,0.0,0
11.09,499.84,49.22,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,7864285.0,0.0,0
11.91,393.31,44.52,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,7971931.0,0.0,0
11.68,398.74,44.46,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,8087727.0,0.0,0
9.83,548.35,52.07,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,8210201.999999999,0.0,0
